FechaHora,X,Y,Z
24/05/2002 00:00:00.032000,5355965.896547906,17081433.910800178,20052845.851552837
24/05/2002 00:00:30.032000,5284542.856810242,17061563.509202402,20088697.664162733
24/05/2002 00:01:00.032000,5212960.75435974,17041772.53801159,20124178.444006752
24/05/2002 00:01:30.032000,5141220.918267146,17022061.96158739,20159287.53642372
24/05/2002 00:02:00.032000,5069324.683896367,17002432.737147093,20194024.293368015
24/05/2002 00:02:30.032000,4997273.3928570505,16982885.814725913,20228388.0734202
24/05/2002 00:03:00.032000,4925068.392957643,16963422.137137435,20262378.24179753
24/05/2002 00:03:30.032000,4852711.038158177,16944042.639934387,20295994.170364376
24/05/2002 00:04:00.032000,4780202.688522153,16924748.25136984,20329235.237642586
24/05/2002 00:04:30.032000,4707544.710169123,16905539.89235853,20362100.828821726
24/05/2002 00:05:00.032000,4634738.47522608,16886418.476438653,20394590.33576925
24/05/2002 00:05:30.032000,4561785.361779357,16867384.909733865,20426703.157040525
24/05/2002 00:06:00.032000,4488686.753826097,16848440.09091559,20458438.69788887
24/05/2002 00:06:30.032000,4415444.041225077,16829584.91116574,20489796.370275397
24/05/2002 00:07:00.032000,4342058.619647839,16810820.254139658,20520775.592878785
24/05/2002 00:07:30.032000,4268531.890529476,16792146.995929338,20551375.791105084
24/05/2002 00:08:00.032000,4194865.261018794,16773566.005027115,20581596.397097204
24/05/2002 00:08:30.000000,4121060.1439287094,16755078.142289547,20611436.84974449
24/05/2002 00:09:00.000000,4047117.9576864727,16736684.260901576,20640896.594692163
24/05/2002 00:09:30.000000,3973040.1262829904,16718385.206341194,20669975.084350638
24/05/2002 00:10:00.000000,3898828.0792227318,16700181.816344254,20698671.77790474
24/05/2002 00:10:30.000000,3824483.2514730305,16682074.920869622,20726986.141322944
24/05/2002 00:11:00.000000,3750007.083413046,16664065.342064824,20754917.64736631
24/05/2002 00:11:30.000000,3675401.020782922,16646153.894231737,20782465.77559758
24/05/2002 00:12:00.000000,3600666.5146323266,16628341.383792883,20809630.01238992
24/05/2002 00:12:30.000000,3525805.0212687934,16610628.609257884,20836409.850935843
24/05/2002 00:13:00.000000,3450818.0022065057,16593016.361190239,20862804.791255794
24/05/2002 00:13:30.000000,3375706.924113727,16575505.42217457,20888814.340206806
24/05/2002 00:14:00.000000,3300473.2587610446,16558096.566784069,20914438.01149097
24/05/2002 00:14:30.000000,3225118.4829692077,16540790.56154828,20939675.32566387
24/05/2002 00:15:00.000000,3149644.0785559826,16523588.164921341,20964525.810142912
24/05/2002 00:15:30.000000,3074051.5322839106,16506490.127250422,20988988.999215543
24/05/2002 00:16:00.000000,2998342.335807347,16489497.190744521,21013064.43404734
24/05/2002 00:16:30.000000,2922517.985619005,16472610.08944373,21036751.662690163
24/05/2002 00:17:00.000000,2846579.982996841,16455829.549188634,21060050.24008997
24/05/2002 00:17:30.000000,2770529.8339506695,16439156.287590196,21082959.72809478
24/05/2002 00:18:00.000000,2694369.04916809,16422591.014000004,21105479.69546238
24/05/2002 00:18:30.000000,2618099.1439608843,16406134.429480651,21127609.71786803
24/05/2002 00:19:00.000000,2541721.638210799,16389787.226776762,21149349.377911966
24/05/2002 00:19:30.000000,2465238.056315156,16373550.090286124,21170698.265126996
24/05/2002 00:20:00.000000,2388649.9271328547,16357423.696031263,21191655.975985784
24/05/2002 00:20:30.000000,2311958.7839290407,16341408.711631339,21212222.113908205
24/05/2002 00:21:00.000000,2235166.1643208372,16325505.796274463,21232396.289268512
24/05/2002 00:21:30.000000,2158273.6102222144,16309715.600690197,21252178.11940247
24/05/2002 00:22:00.000000,2081282.667788641,16294038.76712261,21271567.228614345
24/05/2002 00:22:30.000000,2004194.8873619423,16278475.929303551,21290563.24818384
24/05/2002 00:23:00.000000,1927011.8234147432,16263027.712426245,21309165.81637293
24/05/2002 00:23:30.000000,1849735.0344946806,16247694.733119423,21327374.578432534
24/05/2002 00:24:00.000000,1772366.0831687872,16232477.599421576,21345189.186609223
24/05/2002 00:24:30.000000,1694906.5359671868,16217376.910755748,21362609.30015171
24/05/2002 00:25:00.000000,1617357.9633269855,16202393.25790458,21379634.585317332
24/05/2002 00:25:30.000000,1539721.9395363734,16187527.222985748,21396264.71537835
24/05/2002 00:26:00.000000,1462000.0426773806,16172779.37942777,21412499.370628268
24/05/2002 00:26:30.000000,1384193.8545697224,16158150.291946147,21428338.238387957
24/05/2002 00:27:00.000000,1306304.960714054,16143640.516519861,21443781.013011705
24/05/2002 00:27:30.000000,1228334.950234651,16129250.60036829,21458827.395893235
24/05/2002 00:28:00.000000,1150285.4158224831,16114981.081928395,21473477.09547153
24/05/2002 00:28:30.000000,1072157.9536782254,16100832.490832342,21487729.82723665
24/05/2002 00:29:00.000000,993954.1634542606,16086805.347885476,21501585.3137354
24/05/2002 00:29:30.000000,915675.6481976219,16072900.165044622,21515043.284576904
24/05/2002 00:30:00.000000,837324.0142922825,16059117.445396785,21528103.47643813
24/05/2002 00:30:30.000000,758900.8714009004,16045457.68313821,21540765.633069277
24/05/2002 00:31:00.000000,680407.8324074764,16031921.363553828,21553029.50529903
24/05/2002 00:31:30.000000,601846.5133586846,16018508.962997023,21564894.851039834
24/05/2002 00:32:00.000000,523218.5334058829,16005220.948869808,21576361.435292944
24/05/2002 00:32:30.000000,444525.5147469394,15992057.77960334,21587429.030153476
24/05/2002 00:33:00.000000,365769.08256734506,15979019.90463886,21598097.4148153
24/05/2002 00:33:30.000000,286950.8649817415,15966107.76440895,21608366.375575848
