Seconds,lpg2-27-L1,lpg2-27-L2,lpg2-27-C1,lpg2-27-P1,lpg2-27-P2,lpg2-02-L1,lpg2-02-L2,lpg2-02-C1,lpg2-02-P1,lpg2-02-P2,lpg2-08-L1,lpg2-08-L2,lpg2-08-C1,lpg2-08-P1,lpg2-08-P2,lpg2-10-L1,lpg2-10-L2,lpg2-10-C1,lpg2-10-P1,lpg2-10-P2,lpg2-28-L1,lpg2-28-L2,lpg2-28-C1,lpg2-28-P1,lpg2-28-P2,lpgs-27-L1,lpgs-27-L2,lpgs-27-C1,lpgs-27-P1,lpgs-27-P2,lpgs-02-L1,lpgs-02-L2,lpgs-02-C1,lpgs-02-P1,lpgs-02-P2,lpgs-08-L1,lpgs-08-L2,lpgs-08-C1,lpgs-08-P1,lpgs-08-P2,lpgs-10-L1,lpgs-10-L2,lpgs-10-C1,lpgs-10-P1,lpgs-10-P2,lpgs-28-L1,lpgs-28-L2,lpgs-28-C1,lpgs-28-P1,lpgs-28-P2
8910,-21071147.317,-16419073.497,19852824.506,19852824.251,19852823.566,-1313152.578,-1023236.373,24098592.437,24098591.338,24098592.313,-15032505.628,-11713638.766,20781397.619,20781398.162,20781396.962,-2960501.353,-2306883.895,23584863.188,23584866.644,23584864.754,-2701889.275,-2105367.621,23752061.947,23752061.603,23752060.859,-22475592.798,-17513446.277,19852808.658,19852806.278,19852808.152,-1878358.840,-1463656.378,24098580.562,24098577.460,24098581.085,-15417508.947,-12013641.622,20781383.893,20781382.167,20781383.745,-3724858.103,-2902486.482,23584849.746,23584846.255,23584848.849,-3297380.617,-2569387.141,23752053.459,23752051.630,23752053.653
8940,-21070608.293,-16418653.473,19852926.928,19852926.718,19852926.076,-1272916.703,-991883.724,24106250.585,24106248.827,24106250.080,-15064051.020,-11738219.584,20775394.690,20775395.438,20775393.748,-3057720.935,-2382639.385,23566362.794,23566367.105,23566363.047,-2820203.731,-2197560.712,23729548.194,23729545.673,23729547.206,-22475053.687,-17513026.188,19852910.684,19852908.647,19852910.623,-1838122.632,-1432303.537,24106236.812,24106232.536,24106235.838,-15449054.290,-12038222.405,20775380.857,20775379.146,20775381.068,-3822077.460,-2978241.822,23566348.235,23566347.049,23566347.876,-3415694.968,-2661580.161,23729540.822,23729536.556,23729540.862
8970,-21069632.306,-16417892.960,19853111.854,19853112.573,19853111.819,-1232343.468,-960268.218,24113971.445,24113969.180,24113970.610,-15095186.562,-11762481.033,20769469.677,20769470.541,20769469.227,-3154711.768,-2458216.648,23547906.433,23547910.364,23547907.209,-2938446.758,-2289698.136,23707046.388,23707045.439,23707045.906,-22474073.108,-17512262.091,19853097.733,19853095.559,19853097.649,-1797544.565,-1400684.265,24113959.078,24113955.606,24113958.068,-15480185.261,-12062480.297,20769456.891,20769455.370,20769456.703,-3919063.543,-3053815.396,23547892.809,23547891.230,23547891.850,-3533933.360,-2753713.963,23707038.104,23707036.899,23707039.261
9000,-21068226.445,-16416797.477,19853379.693,19853380.119,19853379.309,-1191441.612,-928396.676,24121753.652,24121751.844,24121753.893,-15125919.191,-11786428.528,20763622.236,20763622.311,20763621.114,-3251477.630,-2533618.602,23529494.036,23529495.863,23529492.543,-3056621.366,-2381782.255,23684558.644,23684556.877,23684557.817,-22472666.531,-17511166.055,19853365.700,19853363.198,19853365.090,-1756641.803,-1368811.991,24121740.761,24121739.174,24121740.718,-15510917.211,-12086427.260,20763608.829,20763607.236,20763608.622,-4015828.539,-3129216.688,23529478.564,23529477.727,23529476.627,-3652107.225,-2845797.488,23684550.870,23684549.157,23684551.391
9030,-21066387.135,-16415364.246,19853729.988,19853730.163,19853729.327,-1150208.793,-896267.202,24129603.389,24129598.972,24129601.800,-15156244.744,-11810058.819,20757850.911,20757851.139,20757850.559,-3348011.117,-2608839.506,23511124.130,23511126.755,23511125.020,-3174719.916,-2473807.112,23662084.609,23662083.341,23662084.801,-22470823.332,-17509729.792,19853716.715,19853713.866,19853715.983,-1715404.866,-1336679.324,24129589.064,24129585.685,24129589.365,-15541238.904,-12110054.543,20757839.716,20757837.202,20757838.979,-4112358.029,-3204434.446,23511110.812,23511108.532,23511109.920,-3770201.871,-2937819.288,23662081.788,23662075.542,23662080.137
9060,-21064116.990,-16413595.304,19854162.298,19854162.012,19854161.573,-1108648.699,-863882.745,24137508.590,24137507.953,24137508.356,-15186165.332,-11833373.555,20752157.033,20752157.548,20752156.336,-3444311.041,-2683878.383,23492798.284,23492801.690,23492800.815,-3292741.472,-2565771.932,23639626.776,23639623.960,23639626.882,-22468557.564,-17507964.259,19854147.668,19854144.803,19854147.085,-1673848.989,-1304298.116,24137498.585,24137494.144,24137497.551,-15571163.904,-12133372.714,20752144.607,20752142.719,20752144.142,-4208662.184,-3279476.614,23492783.549,23492783.107,23492783.620,-3888227.730,-3029787.483,23639619.550,23639615.484,23639620.384
9090,-21061415.439,-16411490.197,19854675.552,19854675.992,19854675.152,-1066762.068,-831243.797,24145482.060,24145479.784,24145480.412,-15215680.019,-11856372.003,20746540.710,20746541.298,20746539.795,-3540372.949,-2758731.793,23474520.020,23474521.088,23474519.751,-3410681.375,-2657673.174,23617183.267,23617181.322,23617180.518,-22465864.510,-17505865.773,19854659.647,19854657.494,19854659.512,-1631970.614,-1271665.633,24145466.156,24145461.710,24145465.628,-15600687.125,-12156377.814,20746526.960,20746524.280,20746526.592,-4304732.460,-3354336.539,23474500.950,23474501.322,23474500.526,-4006176.121,-3121695.306,23617175.609,23617170.839,23617174.756
9120,-21058283.494,-16409049.720,19855272.007,19855272.217,19855271.453,-1024550.945,-798352.070,24153512.303,24153511.502,24153510.011,-15244789.211,-11879054.480,20741001.181,20741001.906,20741000.815,-3636193.875,-2833397.477,23456285.893,23456286.537,23456285.282,-3528536.483,-2749508.317,23594755.398,23594755.587,23594753.176,-22462722.710,-17503417.617,19855258.256,19855255.425,19855257.538,-1589749.443,-1238766.022,24153499.508,24153497.225,24153500.948,-15629786.492,-12179052.638,20740989.458,20740987.015,20740989.004,-4400543.416,-3428994.414,23456269.950,23456268.118,23456269.310,-4124021.317,-3213522.736,23594749.271,23594746.704,23594749.533
9150,-21054721.269,-16406273.966,19855949.369,19855949.825,19855949.017,-982016.742,-765208.536,24161603.996,24161605.118,24161605.145,-15273492.403,-11901420.593,20735539.718,20735539.754,20735538.955,-3731770.384,-2907872.680,23438097.636,23438099.279,23438097.406,-3646302.697,-2841274.162,23572344.038,23572344.522,23572344.441,-22459168.348,-17500647.986,19855933.590,19855932.171,19855933.512,-1547222.909,-1205628.468,24161594.318,24161590.391,24161594.738,-15658497.576,-12201424.901,20735525.850,20735523.506,20735525.281,-4496127.660,-3503475.618,23438080.811,23438079.239,23438080.499,-4241795.331,-3305294.692,23572337.029,23572333.658,23572337.896
9180,-21050742.368,-16403173.518,19856706.889,19856707.197,19856706.391,-939174.631,-731825.067,24169754.280,24169757.009,24169759.440,-15301802.995,-11923480.789,20730151.476,20730152.496,20730151.333,-3827112.248,-2982165.042,23419955.135,23419956.357,23419954.434,-3763989.657,-2932978.309,23549951.813,23549950.485,23549950.600,-22455179.321,-17497539.658,19856694.328,19856690.951,19856692.904,-1504370.438,-1172236.927,24169748.289,24169744.436,24169747.892,-15686798.082,-12223477.234,20730140.649,20730138.132,20730139.869,-4591459.269,-3577759.976,23419939.623,23419937.981,23419939.013,-4359472.183,-3396990.938,23549943.408,23549941.958,23549943.131
